Increasing exponential
2
Time
Absorbance
101
 0    0.2458
 0.5  0.2572
 1    0.2686
 1.5  0.2812
 2    0.2904
 2.5  0.3029
 3    0.3121
 3.5  0.3224
 4    0.3327
 4.5  0.3430
 5    0.3521
 5.5  0.3601
 6    0.3681
 6.5  0.3784
 7    0.3864
 7.5  0.3944
 8    0.4013
 8.5  0.4081
 9    0.4150
 9.5  0.4230
 10   0.4287
 10.5 0.4356
 11   0.4447
 11.5 0.4470
 12   0.4562
 12.5 0.4607
 13   0.4653
 13.5 0.4710
 14   0.4745
 14.5 0.4825
 15   0.4859
 15.5 0.4893
 16   0.4939
 16.5 0.4996
 17   0.5042
 17.5 0.5065
 18   0.5110
 18.5 0.5156
 19   0.5190
 19.5 0.5236
 20   0.5259
 20.5 0.5293
 21   0.5316
 21.5 0.5351
 22   0.5396
 22.5 0.5431
 23   0.5442
 23.5 0.5476
 24   0.5476
 24.5 0.5511
 25   0.5556
 25.5 0.5556
 26   0.5568
 26.5 0.5579
 27   0.5602
 27.5 0.5636
 28   0.5659
 28.5 0.5659
 29   0.5716
 29.5 0.5694
 30   0.5728
 30.5 0.5728
 31   0.5751
 31.5 0.5762
 32   0.5796
 32.5 0.5796
 33   0.5808
 33.5 0.5808
 34   0.5842
 34.5 0.5842
 35   0.5865
 35.5 0.5865
 36   0.5877
 36.5 0.5865
 37   0.5877
 37.5 0.5911
 38   0.5911
 38.5 0.5911
 39   0.5934
 39.5 0.5968
 40   0.5934
 40.5 0.5968
 41   0.5979
 41.5 0.5979
 42   0.5968
 42.5 0.6014
 43   0.5979
 43.5 0.6002
 44   0.6014
 44.5 0.6002
 45   0.6014
 45.5 0.6037
 46   0.6037
 46.5 0.6002
 47   0.6014
 47.5 0.6002
 48   0.6037
 48.5 0.6037
 49   0.6037
 49.5 0.6037
 50   0.6071
